"name","lon","lat","age_max","age_min"
"Absarokius_abbotti",-81.5,47.5,55.8,50.3
"Acidomomys_hebeticus",-78.79,52.74,56.8,55.8
"Acrecebus_fraileyi",-67.12,-10.56,11.608,5.333
"Adapis_parisiensis",6.53,38.61,38,33.9
"Aegyptopithecus_zeuxis",31.91,20.56,33.9,28.1
"Afradapis_longicristatus",32.09,19.27,38,33.9
"Aframonius_dieides",31.83,20.62,33.9,28.1
"Afrasia_djijidae",97.97,9.6,41.3,38
"Afropithecus_turkanensis",35.22,-1.97,20.44,15.97
"Afrotarsius_chatrathi",31.91,20.56,33.9,28.1
"Afrotarsius_libycus",20.45,14.98,48.6,33.9
"Agerinia_marandati",7.84,33.12,56,47.8
"Agerinia_roselli",7.95,33.11,55.8,48.6
"Agerinia_smithorum",7.95,33.11,56,47.8
"Algeripithecus_minutus",1.38,20.53,56,41.3
"Alophia_metios",35.35,-3.39,23.03,15.97
"Altanius_orlovi",101.35,42.88,55.8,48.6
"Altiatlasius_koulchii",1.06,20.61,59.2,56
"Anapithecus_hernyaki",22.13,45.73,11.1,9.7
"Anaptomorphus_aemulus",-87.37,48.83,50.3,46.2
"Anaptomorphus_westi",-85.53,49.05,50.3,46.2
"Anasazia_williamsoni",-76.69,46.56,63.3,61.7
"Anchomomys_(Fendantia)_pygmaeus",12.54,40.4,41.3,38
"Anchomomys_(Huerzeleris)_quercyi",6.9,37.51,41.3,38
"Anchomomys_frontanyensis",7.39,35.91,41.3,38
"Anchomomys_gaillardi",9.66,35.25,56,41.3
"Anchomomys_milleri",31.83,20.62,33.9,28.1
"Anemorhysis_natronensis",-83.12,50.2,50.3,46.2
"Anemorhysis_pattersoni",-79.86,52.19,55.8,50.3
"Anemorhysis_savagei",-84.69,49.79,56,33.9
"Anemorhysis_sublettensis",-83.02,50.9,55.8,50.3
"Anemorhysis_wortmani",-80.09,51.71,55.8,50.3
"Ankarapithecus_meteai",31.9353,40.6624,10.3,9
"Anthradapis_vietnamensis",105.8155,21.6567,38,36
"Antillothrix_bernensis",-68.37,18.47,2.588,0.0117
"Aotus_dindensis",-71.48,4.1,13.8,11.8
"Apidium_bowni",31.91,20.56,33.9,28.1
"Apidium_moustafai",31.91,20.56,33.9,28.1
"Apidium_phiomense",31.91,20.56,33.9,28.1
"Apidium_zuetina",19.53,20.49,33.9,28.4
"Arapahovius_advena",-80.09,51.71,55.8,50.3
"Arapahovius_gazini",-82.23,49.71,55.8,50.3
"Archaeoindris_fontoynontii",46.8964,-18.4679,0.002149,0.002149
"Archaeolemur_edwardsi",46.63,-25.2,0.0117,0
"Archaeolemur_majori",46.63,-25.2,0.0117,0
"Archicebus_achilles",110.59,28.3,55.8,48.6
"Arcius_fuscus",11.82,34.58,55.8,48.6
"Arcius_hookeri",7.69,42.64,56,47.8
"Arcius_ilerdensis",7.84,33.12,56,47.8
"Arcius_lapparenti",8.93,34.2,55.8,48.6
"Arcius_rougieri",8.92,34.19,55.8,48.6
"Arcius_zbyszewskii",-0.89,31.93,55.8,48.6
"Ardipithecus_ramidus",35.73,-0.51,5.333,2.588
"Arsinoea_kallimos",31.83,20.62,33.9,28.1
"Aseanpithecus_myanmarensis",97.99,9.62,41.3,38
"Asiadapis_cambayensis",61.6604,-8.6195,56,47.8
"Australopithecus_afarensis",19.01,15.19,3.6,2.588
"Australopithecus_africanus",36.07,4.17,5.333,2.588
"Australopithecus_anamensis",35.96,1.14,5.333,3.6
"Australopithecus_deyiremeda",40.37,10.27,5.333,2.588
"Australopithecus_garhi",40.41,9.06,5.333,2.588
"Australopithecus_sediba",27.62,-26.71,3.6,2.588
"Avenius_amatorum",10.73,40.08,56,47.8
"Aycrossia_lovei",-84.44,50.94,50.3,46.2
"Azibius_trerki",1.38,20.53,56,41.3
"Babakotia_radofilai",44.48,-17.9,0.0117,0
"Bahinia_banyueae",105.16,22.06,33.9,28.4
"Bahinia_pondaungensis",98.02,9.64,41.3,38
"Berruvius_lasseroni",11.53,39.21,59.2,56
"Biretia_fayumensis",32.09,19.27,38,33.9
"Biretia_megalopsis",32.09,19.27,38,33.9
"Biretia_piveteaui",20.45,14.98,48.6,33.9
"Branisella_boliviana",-60.7,-16.39,29,21
"Brontomomys_cerutti",-102.7514,33.7971,46,44
"Bugtilemur_mathesoni",70.94,14.08,33.9,28.4
"Bugtipithecus_inexpectans",70.94,14.08,33.9,28.4
"Caenopithecus_lemuroides",13,41,47.8,41.3
"Canaanimico_amazonensis",-67.55,-6.8,28.4,23.03
"Cantius_UM_81825",-91.6686,48.4037,56,50
"Cantius_abditus",-81.71,47.85,55.8,50.3
"Cantius_eppsi",7.69,42.64,56,47.8
"Cantius_frugivorus",-81.71,47.85,55.8,50.3
"Cantius_mckennai",-81.71,47.85,55.8,50.3
"Cantius_nunienus",-83.02,50.9,55.8,50.3
"Cantius_ralstoni",-81.69,48.47,55.8,50.3
"Cantius_torresi",-81.07,52.21,55.8,50.3
"Cantius_trigonodus",-81.21,52.11,55.8,48.6
"Carlocebus_carmenensis",-67.78,-46.29,20.44,15.97
"Carlocebus_intermedius",-67.78,-46.29,20.44,15.97
"Carpocristes_oriens",115.45,36.4,55.8,48.6
"Carpodaptes_aulacodon",-78.5,46.09,61.7,56.8
"Carpodaptes_cygneus",-76.38,61.93,61.7,56.8
"Carpodaptes_hazelae",-76.38,61.93,61.7,56.8
"Carpodaptes_hobackensis",-78.57,51.99,61.7,56.8
"Carpodaptes_jepseni",-77.04,53.09,58.7,55.8
"Carpodaptes_rosei",-76.17,52,61.7,56.8
"Carpodaptes_stonleyi",-76.43,61.72,61.7,56.8
"Carpolestes_dubius",-76.04,53.77,61.7,56.8
"Carpolestes_nigridens",-79.47,50.38,56.8,55.8
"Carpolestes_simpsoni",-78.5,53.19,56.8,55.8
"Catopithecus_browni",31.83,20.62,33.9,28.1
"Cebupithecia_sarmientoi",-71.59,4.05,13.8,11.8
"Chalicomomys_antelucanus",-80.09,51.71,55.8,50.3
"Chilecebus_carrascoensis",-66.17,-33.57,21,17.5
"Chiromyoides_caesor",-78.5,46.09,61.7,56.8
"Chiromyoides_campanicus",11.49,39.21,59.2,56
"Chiromyoides_major",-78.79,52.74,56.8,55.8
"Chiromyoides_mauberti",10.23,39.54,58.7,55.8
"Chiromyoides_minor",-79.72,51.28,61.7,56.8
"Chiromyoides_potior",-78.32,46.14,61.7,56.8
"Chronolestes_simul",115.45,36.4,55.8,48.6
"Chumashius_balchi",-100.3,38.92,40.4,37.2
"Copelemur_australotutus",-84.08,50.15,55.8,50.3
"Copelemur_praetutus",-81.5,47.5,55.8,50.3
"Copelemur_tutus",-82.05,44.29,55.8,50.3
"Crouzelia_auscitanensis",11.5523,48.2995,13.65,12.75
"Crouzelia_rhodanica",11.6433,48.3141,12.75,11.1
"Darwinius_masillae",14.18,42.07,48.6,40.4
"Daubentonia_robusta",44.7883,-25.1991,0.001,0.001
"Dendropithecus_macinnesi",32.8752,-1.512,20,17
"Dermotherium_chimaera",105.04,8.67,28.4,23.03
"Dermotherium_major",106.91,3.35,37.2,33.9
"Diablomomys_dalquesti",-86.48,36.39,46.2,40.4
